# Bilibili 直播转写
录制时间: 2026-05-07 10:12:13
========================================

[00:00] AI的万亿泡沫,一场注定撞墙的次贷式骗局。
[05:11] 微软过去12个月的总收入,大约是3000亿美元。
[05:14] 也就是说,OpenAI需要在四年内,把自己做成接近三个微软的体量。
[05:21] 而根据泄露的财务数据,OpenAI预计到2030年底,累计收入是6730亿美元,累计烧钱是8520亿美元。
[05:31] 注意,烧的钱比赚的还多。
[05:34] 这还不算完。
[05:36] 更让人几倍发凉的是,OpenAI的CFO Sarah Fryer,最近在公司内部明确表示。
[05:43] 我担心,如果收入增长不够快,我们可能无法支付未来的计算合同。
[05:49] 我们还没有准备好达到上市公司所要求的严格报告标准。
[05:53] 各位,这是一家公司首席财务官,在估值8500亿美元,融资超过1200亿美元的背景下,说出来的话。
[06:02] 如果这都不算红色警报,那什么才算?
[06:07] 第四部分,被操纵的认知,被隐藏的成本。
[06:11] 但为什么,媒体还在狂欢?
[06:14] 为什么投资者还在追捧?
[06:16] 为什么用户还在觉得真香?
[06:19] 因为整个行业从第一天起,就在做一件事,隐藏真实成本。
[06:25] 你看到的每一个20美元包月,每一个无线对话,每一个智能体自动编程,背后都被刻意切断了与Token消耗,与算力账单的关联。
[06:36] 媒体写AR,写的是革命,是突破,是未来以来,但几乎从不写。
[06:41] 这个功能,用户用一次,后台烧掉15美元。
[06:46] 这个模型,跑一次复杂任务,成本相当于一个初级工程师半小时的工资。
[06:53] 这个效率提升,如果按真实成本核算,投资回报率可能是负的。
[06:58] 为什么?因为一旦你开始算账,整个叙事就塌了。
[07:04] 用户会发现,自己不是在使用工具,而是在为每一次换决,每一次失败,每一次重施买单。
[07:12] 企业会发现,所谓降本增效,可能只是把人力成本换成了更贵,更不可控的算力成本。
[07:19] 投资者会发现,自己投的不是下一个微软,而是一个需要持续输血,永远看不到盈利终点的算力黑洞。
[07:27] 第五部分,二级市场的审判,无法通过的压力测试。
[07:33] 所以,回到最初那个问题,OpenA2如果上市,会发生什么?
[07:38] 我的判断很明确,上市之日,可能就是泡沫破裂之时。
[07:44] 为什么?因为公开市场,和一级市场,是两套完全不同的游戏规则。
[07:50] 一级市场可以讲叙事,可以赌未来,可以接受战略性亏损。
[07:55] 但二级市场,尤其是2026年,这个宏观环境收紧,利率高起,投资者回归理性的二级市场,只会问三个问题。
[08:05] 第一,你赚钱吗?
[08:07] 第二,你什么时候赚钱?
[08:10] 第三,如果赚不了钱,你的护城盒在哪里?
[08:13] 对于OpenA2,这三个问题的答案,目前都是不知道。
[08:18] 更致命的是,一旦上市,所有财务细节都必须公开。
[08:24] 那时候,市场会看到,每年上百亿美元的亏损。
[08:29] 与Oracle等巨头签下的,可能无法履行的天价算力合同。
[08:33] 用户增长放缓,付费转化率低迷的真实数据。
[08:39] 以及,那个最核心的问题,OLM的单位经济模型,到底能不能跑通?
[08:45] 如果答案是否定的,那么8500亿美元的估值,就不是低估,而是荒谬。
[08:51] 而一旦估值逻辑崩塌,连锁反应会非常可怕。
[08:56] OpenAI股价暴跌。
[08:58] Oracle因算力合同违约风险被抛售。
[09:01] NVIDIA因算力需求政委遭遇估值下修。
[09:05] 所有依赖AI叙事的Source公司、芯片公司、基础设施公司集体回调。
[09:11] 这不是危言耸听,这是金融规律。
[09:15] 那么,作为开发者、创业者,或者只是一个理性的观察者,我们该怎么办?
[09:21] 我的建议只有三个字,算轻账。
[09:25] 具体来说,有三条生存法则。
[09:28] 第一,模型解偶,拒绝绑定。
[09:31] 不要把你的业务,绑死在任何一家准万亿公司的私有协议上。
[09:36] 你的代码,应该能随时在DeepSeek、Plot、GPT、本地模型之间切换。
[09:42] 谁性价比高用谁,而不是谁故事好听信谁。
[09:46] 第二,重工程,轻推理。
[09:48] 别再指望狂烧Token能解决所有问题。
[09:52] 用更精准的检索、更结构化的提示、更传统的代码逻辑,去约束和引导AI。
[10:00] 把大模型当成一个概率组件,而不是全能管家。
[10:04] 第三,现金流锁定,毛利优先。
[10:07] 只做那些用户愿意为结果付费,且毛利能覆盖三倍以上API成本的业务。
[10:14] 如果一个功能的盈亏平衡,依赖于大厂的补贴或未来的技术突破,那就果断砍掉。
[10:22] 朋友们,技术本身没有错。
[10:24] 大语言模型确实有它的价值,确实能帮我们完成一些以前做不到的事。
[10:31] 但问题在于,当一个行业把不可持续包装成革命,把补贴依赖美化成增长飞轮,把债务杠杆叙述成战略投入的时候。
[10:41] 我们就有义务,停下来,算一算账。
[10:45] 因为最终,市场不会为叙事买单,只会为现金流投票。
[10:49] 而历史一次又一次证明,所有靠借来的钱,讲出来的故事,撑起来的估值,最终都要回到一个最简单的等式。
[11:00] 收入,能不能覆盖成本?
[11:02] 如果答案是否定的,那么无论故事多动人,估值多惊人,结局都只有一个。
[11:08] 感谢大家看完这期视频。
[11:11] 如果你认同算账比讲故事更重要,欢迎点赞、订阅、转发。
[11:17] 也欢迎在评论区聊聊。
[11:19] 你觉得,生成是AI的单位经济模型,到底有没有可能跑通?
[11:25] 我们下期见。
