# Bilibili 直播转写
录制时间: 2026-05-06 17:34:11
========================================

[00:00] 一条鱼被冻成硬邦邦的冰块
[07:51] 有一次
[07:52] 罗伯特·纳尔逊离开期间
[07:53] 负责维护的看守人
[07:55] 没有好好照看
[07:56] 可能是由于他的英文词汇量不够
[07:58] 导致他看不懂一些专业词汇
[07:59] 没过几天
[08:00] 真空泵或者补充系统
[08:02] 就出现了故障
[08:03] 液弹逐渐蒸发耗尽
[08:04] 容器里面的温度慢慢上升
[08:06] 酒菌冷冻的身体全部解冻
[08:08] 腐烂分解了好几天
[08:09] 结果非常惨烈
[08:10] 尸体直接变成腐烂的液体
[08:12] 最快
[08:13] 有的还粘在了容器底部
[08:14] 需要刮下来
[08:15] 记者到来后闻到了恶臭
[08:16] 媒体也曝光了
[08:18] 现场被描述为令人作呕
[08:20] 胃部翻腾
[08:20] 公墓甚至试图掩盖
[08:22] 把入口用草皮盖住
[08:23] 这件事情被媒体大肆报道
[08:25] 冷冻技术一下子被说成了骗局
[08:27] 很多早期的小组织因此而倒闭
[08:29] 阿尔口基金会便从中吸取了教训
[08:31] 他们开始用更严格的资金信托和人寿保险
[08:34] 来保证长期维护
[08:35] 也组建了更加专业的团队
[08:36] 到了1980年代和1990年代
[08:38] 冷冻技术开始真正走向成熟
[08:40] 科学家们不断地改进冷冻保存剂
[08:42] 开发了一种叫做玻璃化的新技术
[08:45] 这种方法不再让组织结冰
[08:46] 形成破坏性的冰晶
[08:47] 而是让组织像玻璃一样均匀固化
[08:50] 大大减少了对细胞的损害
[08:51] 到了2000年代左右
[08:52] 阿尔口已经全面采用了这种玻璃化技术
[08:55] 保存质量比以前高了很多
[08:57] 动物实验也越来越成功
[08:58] 就比如他们用冷冻的兔子肾脏和猪脑
[09:01] 在解冻后还能恢复部分功能
[09:03] 到了21世纪
[09:04] 人体冷冻越来越走向国际化和专业化
[09:06] 阿尔口把总部搬到了亚利桑那州
[09:08] 储存设施也更加的先进
[09:10] 2002年
[09:11] 美国著名的棒球明星
[09:12] 泰德·威廉姆斯的头部被保存下来
[09:14] 引起了很大的社会关注
[09:16] 2014年
[09:16] 比特币早期的开发者哈尔·芬尼
[09:19] 因患病去世后
[09:20] 也选择了冷冻保存
[09:21] 这些致命案例也让更多的普通人
[09:23] 开始了解了这项技术
[09:24] 说到这里
[09:31] 就不得不谈一谈
[09:32] 人体冷冻技术究竟有没有结果
[09:34] 以及它背后那些激烈的争议
[09:36] 直到2026年
[09:37] 全世界已经有超过500人被冷冻保存
[09:39] 其中阿尔口一家就保管了200多例
[09:42] 但没有一例被成功复活过
[09:43] 这一点让很多主流科学家直摇头
[09:46] 他们认为
[09:46] 冷冻只是把死人保存的看起来完整一些罢了
[09:49] 却无法保证未来能够真正修复大脑的复杂损伤
[09:52] 尤其是记忆
[09:53] 意识和人格这些最核心的东西
[09:55] 一些神经科学家甚至公开批评
[09:57] 说这是在给绝望当中的人贩卖虚假希望
[10:00] 动一个大脑远比动一个简单器官难得多
[10:03] 目前的技术还远远不够
[10:04] 更有人直接把人体冷冻叫做伪科学
[10:07] 或昂贵的科幻木
[10:08] 因为它依赖于还没发明出来的未来技术
[10:10] 就比如超级纳米机器人
[10:12] 或者全脑扫描上传
[10:14] 这些听起来很美好
[10:15] 却没有可靠的证据证明一定能够实现
[10:17] 另一方面
[10:18] 有支持者认为
[10:19] 不能简单的把冷冻贴上假的标签
[10:21] 他们说
[10:22] 冷冻本身是基于低温生物学的真实科学
[10:25] 就比如
[10:26] 玻璃化基础已经在动物器官上取得了部分成功
[10:29] 而且历史上还有很多曾经被嘲笑的想法
[10:31] 就比如器官移植或者视管婴儿
[10:33] 后来都通通变成了现实
[10:35] 他们强调
[10:36] 冷冻不是承诺马上复活
[10:38] 而是一种信息保存的赌注
[10:39] 只要大脑的结构没有被彻底破坏
[10:41] 未来科技就有可能修复
[10:43] 二口等机构也反复说明了
[10:45] 他们在合同上写的是
[10:46] 只保证长期储存
[10:48] 不保证能够复活
[10:49] 成功率确实很低
[10:50] 但总比火化或埋丧后彻底消失
[10:52] 要多一次次可能
[10:53] 除了科学真伪
[10:54] 真意还牵涉到了钱
[10:56] 伦理和公平
[10:57] 冷冻费用不便宜
[10:58] 神经的保存通常还要花到几万美元
[11:00] 到十几万美元
[11:02] 加上终身维护
[11:03] 对于普通人来说
[11:04] 这是一笔不小的负担
[11:05] 有人担心这是在利用病人的恐惧
[11:07] 和对永生的渴望做生意
[11:09] 尤其当病人像经营一样
[11:10] 又年轻又绝望的时候
[11:12] 而更深层次的伦理问题包括
[11:14] 如果真的复活成功了
[11:15] 那醒来的人还是原来的我吗
[11:17] 记忆会完整吗
[11:18] 社会会不会因为复活者而乱套
[11:20] 宗教人士常常反对
[11:22] 认为这是在挑战自然的生死规律
[11:24] 法律上也存在难题
[11:25] 就比如
[11:26] 遗体到底算财产
[11:27] 还是有其他权利
[11:29] 长期储存的资金
[11:30] 万一机构出现问题怎么办
[11:31] 这些争议也让人体冷冻
[11:33] 一直处在科学边缘
[11:34] 既有人热情支持
[11:35] 把他当作对未来的乐观投资
[11:37] 也有人强烈反对
[11:39] 觉得他更多是情感安慰
[11:40] 而非可靠技术
[11:41] 直到现在为止
[11:42] 也没有任何一个人类
[11:43] 被冷冻后成功复活
[11:45] 金苏奥奇的头部
[11:46] 还在夜带里面安静的等着
[11:47] 贝德福德也是一样的
[11:49] 保存只是把临床死亡后的身体
[11:51] 暂停下来
[11:51] 防止进一步腐烂
[11:52] 但修复大脑的损伤
[11:54] 治好原来的病
[11:55] 恢复意识和记忆
[11:56] 这些技术目前根本就不存在
[11:58] 但是如果你要问
[11:59] 在遥远的未来
[12:00] 人体冷冻可能实现吗
[12:02] 科学家指出
[12:03] 如果AI和纳米技术
[12:04] 真正爆发式发展的话
[12:06] 可以展望一下
[12:07] 那AI就不用说了
[12:08] 除了能够辅助修复过程
[12:10] 还能够提供
[12:10] 不需要完整身体复活的替代方案
[12:13] 就比如全脑仿真
[12:14] 或意识上传
[12:15] 纳米技术为的是
[12:16] 减少在冷冻过程当中
[12:17] 造成的细胞损伤
[12:18] 冰晶或者保护剂毒性
[12:20] 还是可能撕裂脑细胞
[12:21] 破坏蛋白质
[12:22] 断掉神经链接
[12:23] 甚至让经这样的大脑
[12:25] 出现微小的裂纹
[12:26] 或脱水问题
[12:26] 现在解冻的话
[12:28] 直接就会变成灾难
[12:29] 但未来的分子纳米技术
[12:30] 被认为能够做到
[12:31] 原子级精准修复
[12:33] 它们如果在未来几十年
[12:34] 到上百年内
[12:35] 能够真正成熟
[12:36] 再加上AI的加持的话
[12:38] 确实有可能让冷冻复活
[12:39] 从科幻变成现实
[12:41] 要么修复身体
[12:42] 要么创造数字永生
[12:43] 但是到2026年的今天
[12:45] 这还只是理论上的强大潜力
[12:47] 主流科学界大多都认为
[12:48] 距离实际应用
[12:49] 还有很长很长的路
[12:51] 甚至可能都永远无法
[12:52] 完全实现
[12:53] 对早期冷冻案例的完美复活
[12:55] 总之
[12:55] 人体冷冻技术
[12:56] 更像是人类对未来的
[12:57] 一场大胆实验
[12:58] 科技发展的太快了
[13:00] 谁也说不准
[13:00] 一百年后究竟会怎样
[13:02] 但至少到现在
[13:03] 死亡还是最终的现实
[13:04] 除非未来彻底改变规则
[13:06] 那么好了
[13:07] 这就是本期的全部内容
[13:08] 各位对于人体冷冻技术
[13:09] 什么看法
[13:10] 可以在评讯下方留言
[13:11] 如果觉得视频做爱不错的话
[13:13] 也别忘了点赞
[13:13] 收藏和分享
[13:14] 我是真人
[13:15] 咱们下期视频再见吧
