# Bilibili 直播转写
录制时间: 2026-05-06 17:59:33
========================================

[00:00] 他守身如玉二十年
[15:04] 却从未被坚定的选择过
[15:07] 我珍惜你
[15:09] 德克斯
[15:10] 我珍惜你
[15:11] 我也珍惜你
[15:12] 我珍惜你
[15:13] 两人相识无言
[15:32] 默默地流下泪水
[15:33] 可事实已成定局
[15:35] 任谁都无法改变
[15:37] 他们只能祈求对方
[15:38] 不要再从彼此的世界
[15:40] 消失了
[15:42] 转眼就到了2001年的7月15日
[15:45] 德克斯当上了父亲
[15:47] 曾经的壮志凌云
[15:48] 被消磨得一干二净
[15:50] 他尽可能地维系着整个家
[15:52] 可妻子回家的时间
[15:54] 却越来越晚
[15:55] 面对女儿的哭闹
[15:56] 他只能讲故事
[15:58] 才能让起安心
[15:59] 但转眼一看
[16:00] 作者竟是他最熟悉的人
[16:03] 或许是老天对他的惩罚
[16:09] 妻子的应酬不断
[16:10] 直到2003年
[16:11] 德克斯终于发现了他的秘密
[16:14] 这段仅维持了两年的婚姻
[16:16] 便草草结束了
[16:18] 没了束缚
[16:19] 德克斯反而变得更加憔悴
[16:21] 他孤身来到爱玛的城市
[16:23] 想赌最后一点可能
[16:25] 可还没等他开口
[16:26] 残存的希望就崩碎了
[16:28] 此时的爱玛已经是家喻户晓的大作家
[16:40] 他完全配得上一位爵士的音乐天才
[16:43] 来与自己共度余生
[16:45] 爱玛想要介绍给他认识
[16:47] 但德克斯只是远远地看了一眼
[16:49] 便退缩了
[16:51] You know,Em, I'm sure he's a fine jazz pianist
[16:55] I just don't think I can do this
[16:57] 德克斯知道
[17:18] 如今两人的身份
[17:20] 已经是云泥之变
[17:21] 他不想再打扰任何人
[17:23] 而爱玛也清楚地意识到
[17:25] 这一次将会是他们的最后一面
[17:29] 施路德德克斯独自走在塞纳河畔
[17:32] 但突然身后传来了熟悉的声音
[17:35] 15年的等待
[17:48] 早已成了他生命中的一部分
[17:51] 哪怕眼前的人已经面目全非
[17:54] 那也是他永远都不愿错过的人
[17:57] 2004年
[18:18] 他们终于不用每年才能见一次
[18:20] 德克斯盘下了一家咖啡馆
[18:22] 认识平淡
[18:23] 却也无比珍贵
[18:25] 他开始偷偷练习
[18:26] 获礼致词
[18:27] 那个曾经对任何女人都不负责的浪子
[18:30] 居然笨拙地在纸上写满爱玛的名字
[18:34] 他们以为来日方长
[18:44] 他们以为只要在一起就有无限时间
[18:47] 可命运只给了他们两年
[18:50] 2006年
[18:51] 艾玛如往常一样
[18:52] 下班后给德克斯发去留言
[18:55] 等着与心爱之人共赴甜美的约会
[18:58] 他骑上车穿过巴黎的街道
[19:00] 本以为命运终于是成全了他一次
[19:03] 但老天却跟他们开了一个甜大的玩笑
[19:07] 生命的弥留之际
[19:16] 艾玛的脑袋空空落眼
[19:18] 他只记得自己还有个约会
[19:21] 所有的美好总是这样
[19:45] 开始误打误撞
[19:46] 结局猝不及防
[19:48] 艾玛用尽了所有力气
[19:49] 但最终还是差了一个路口
[19:52] 这一生都停在了去见他的路上
[19:56] 直到2008年
[19:57] 德克斯也没能从悲痛中完全走出来
[20:00] 整日浑浑噩噩
[20:02] 用酒精填满时间
[20:03] 他时常幻想
[20:05] 眼前的姑娘就是艾玛
[20:06] 却总是被打得遍体鳞伤
[20:09] 女儿嫌弃地拿开他受伤的时候
[20:11] 一个小小的举动
[20:12] 竟让德克斯觉得自己真的完了
[20:15] 无处可去的他只能回到老神
[20:18] 父亲什么都没问
[20:19] 只是告诉他
[20:20] 要像艾玛还在身边一样
[20:22] 好好地活着
[20:24] 原来母亲走后
[20:37] 父亲一直都在痛苦地残喘着
[20:40] 这世上远不止他一人
[20:42] 假装他还在
[20:43] 从那天起
[20:44] 他开始试着为了艾玛活下去
[20:47] 09年的德克斯才45岁
[20:51] 但却早已头发花白
[20:52] 那间咖啡馆已经销有名气
[20:55] 这天还迎来了一位老熟人
[20:57] 他们都爱过同一个女人
[20:59] 只是一个失去了她
[21:00] 一个从未真正拥有过她
[21:04] 炼气
[21:04] 炼气
[21:05] 炼气
[21:08] 炼气
[21:10] 炼成专 Manchester
[21:12] 炼气
[21:13] 炼气
[21:15] 炼气
[21:16] 炼气
[21:18] 曾经的情敌
[21:42] 但现在一切都过去了
[21:45] 一恩有了自己的家庭
[21:46] 他觉得德克斯也是时候该放下了
[21:49] 最后的拥抱不是和解
[21:51] 而是替那个他们都没留住的人
[21:54] 好好倒个饼
[21:55] 或许是一恩的出现
[22:03] 恍惚中德克斯回到了1988年
[22:06] 那个毕业的清晨
[22:08] 他们从床上爬起
[22:09] 穿过晨雾奔向山顶
[22:11] 两人笑着
[22:12] 想完成了一个20年才敢确定的答案
[22:16] 德克斯没有花天酒地
[22:18] 这一次
[22:18] 他想将爱玛牢牢地攥在手心里
[22:22] 而时空的另一端
[22:23] 德克斯正带着女儿
[22:25] 爬上了同一座山
[22:26] 女儿问他
[22:27] 那是谁
[22:28] 德克斯望着天边的云
[22:30] 只能空说着
[22:32] 无尽的思念
[22:33] 这世上有一个最残忍的词
[22:44] 叫做兜兜转转
[22:46] 有人甚至耗费半生
[22:47] 才突然明白
[22:49] 那个位置到底有多重
[22:51] 只是隔着一层薄薄的沙
[22:53] 但就是不敢给承诺
[22:55] 以至于某个路口时才发现
[22:57] 他已经悄无声息地被别人带走了
[23:01] 当你亲近所有
[23:02] 却没有得到一个想要的结果
[23:05] 后悔吗
[23:06] 也不全是
[23:07] 因为那些年给的
[23:08] 从来都不是为了得到什么
[23:10] 我的付出是不需要回报的
[23:13] 如果有天
[23:14] 我消失在你的世界里
[23:16] 你还能想起我
[23:18] 就当你还给我了吧
[23:20] 与你用心走进真实光影世界
[23:23] 令人悲喜的
[23:25] 不是电影本身
[23:26] 而是故事里有你
[23:28] 我是唐叔
[23:29] 让我们下次再见
